nu,[0](Z)-HFC-1234ze-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
599.998,1.0
600.058265,1.0
600.11853,1.0
600.178795,1.0
600.23906,1.0
600.299325,1.0
600.35959,1.0
600.419855,1.0
600.48012,1.0
600.540385,1.0
600.60065,1.0
600.660915,1.0
600.72118,1.0
600.781445,1.0
600.84171,1.0
600.901975,1.0
600.96224,1.0
601.022505,1.0
601.08277,1.0
601.143034,1.0
601.203299,1.0
601.263564,1.0
601.323829,1.0
601.384094,1.0
601.444359,1.0
601.504624,1.0
601.564889,1.0
601.625154,1.0
601.685419,1.0
601.745684,1.0
601.805949,1.0
601.866214,1.0
601.926479,1.0
601.986744,1.0
602.047009,1.0
602.107274,1.0
602.167539,1.0
602.227804,1.0
602.288069,1.0
602.348334,1.0
602.408599,1.0
602.468864,1.0
602.529129,1.0
602.589394,1.0
602.649659,1.0
602.709924,1.0
602.770189,1.0
602.830454,1.0
602.890719,1.0
602.950984,1.0
603.011249,1.0
603.071514,1.0
603.131779,1.0
603.192044,1.0
603.252309,1.0
603.312574,1.0
603.372839,1.0
603.433103,1.0
603.493368,1.0
603.553633,1.0
603.613898,1.0
603.674163,1.0
603.734428,1.0
603.794693,1.0
603.854958,1.0
603.915223,1.0
603.975488,1.0
604.035753,1.0
604.096018,1.0
604.156283,1.0
604.216548,1.0
604.276813,1.0
604.337078,1.0
604.397343,1.0
604.457608,1.0
604.517873,1.0
604.578138,1.0
604.638403,1.0
604.698668,1.0
604.758933,1.0
604.819198,1.0
604.879463,1.0
604.939728,1.0
604.999993,1.0
605.060258,1.0
605.120523,1.0
605.180788,1.0
605.241053,1.0
605.301318,1.0
605.361583,1.0
605.421848,1.0
605.482113,1.0
605.542378,1.0
605.602643,1.0
605.662908,1.0
605.723172,1.0
605.783437,1.0
605.843702,1.0
605.903967,1.0
605.964232,1.0
606.024497,1.0
606.084762,1.0
606.145027,1.0
606.205292,1.0
606.265557,1.0
606.325822,1.0
606.386087,1.0
606.446352,1.0
606.506617,1.0
606.566882,1.0
606.627147,1.0
606.687412,1.0
606.747677,1.0
606.807942,1.0
606.868207,1.0
606.928472,1.0
606.988737,1.0
607.049002,1.0
607.109267,1.0
607.169532,1.0
607.229797,1.0
607.290062,1.0
607.350327,1.0
607.410592,1.0
607.470857,1.0
607.531122,1.0
607.591387,1.0
607.651652,1.0
607.711917,1.0
607.772182,1.0
607.832447,1.0
