nu,[0]i-HFE-7100-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
300,1.0
300.241054,1.0
300.482108,1.0
300.723162,1.0
300.964216,1.0
301.20527,1.0
301.446324,1.0
301.687378,1.0
301.928432,1.0
302.169486,1.0
302.41054,1.0
302.651594,1.0
302.892648,1.0
303.133702,1.0
303.374756,1.0
303.61581,1.0
303.856864,1.0
304.097918,1.0
304.338972,1.0
304.580026,1.0
304.82108,1.0
305.062134,1.0
305.303188,1.0
305.544242,1.0
305.785296,1.0
306.02635,1.0
306.267404,1.0
306.508458,1.0
306.749512,1.0
306.990566,1.0
307.23162,1.0
307.472674,1.0
307.713728,1.0
307.954782,1.0
308.195836,1.0
308.43689,1.0
308.677944,1.0
308.918998,1.0
309.160052,1.0
309.401106,1.0
309.64216,1.0
309.883214,1.0
310.124268,1.0
310.365322,1.0
310.606376,1.0
310.84743,1.0
311.088484,1.0
311.329538,1.0
311.570592,1.0
311.811646,1.0
312.0527,1.0
312.293754,1.0
312.534808,1.0
312.775862,1.0
313.016916,1.0
313.25797,1.0
313.499024,1.0
313.740078,1.0
313.981132,1.0
314.222186,1.0
314.46324,1.0
314.704294,1.0
314.945348,1.0
315.186402,1.0
315.427456,1.0
315.66851,1.0
315.909564,1.0
316.150618,1.0
316.391672,1.0
316.632726,1.0
316.87378,1.0
317.114834,1.0
317.355888,1.0
317.596942,1.0
317.837996,1.0
318.07905,1.0
318.320104,1.0
318.561158,1.0
318.802212,1.0
319.043266,1.0
319.28432,1.0
319.525374,1.0
319.766428,1.0
320.007482,1.0
320.248536,1.0
320.48959,1.0
320.730644,1.0
320.971698,1.0
321.212752,1.0
321.453806,1.0
321.69486,1.0
321.935914,1.0
322.176968,1.0
322.418022,1.0
322.659076,1.0
322.90013,1.0
323.141184,1.0
323.382238,1.0
323.623292,1.0
323.864346,1.0
324.1054,1.0
324.346454,1.0
324.587508,1.0
324.828562,1.0
325.069616,1.0
325.31067,1.0
325.551724,1.0
325.792778,1.0
326.033832,1.0
326.274886,1.0
326.51594,1.0
326.756994,1.0
326.998048,1.0
327.239102,1.0
327.480156,1.0
327.72121,1.0
327.962264,1.0
328.203318,1.0
328.444372,1.0
328.685426,1.0
328.92648,1.0
329.167534,1.0
329.408588,1.0
329.649642,1.0
329.890696,1.0
330.13175,1.0
330.372804,1.0
330.613858,1.0
330.854912,1.0
331.095966,1.0
331.33702,1.0
331.578074,1.0
331.819128,1.0
332.060182,1.0
332.301236,1.0
332.54229,1.0
332.783344,1.0
333.024398,1.0
333.265452,1.0
333.506506,1.0
333.74756,1.0
333.988614,1.0
334.229668,1.0
334.470722,1.0
334.711776,1.0
334.95283,1.0
335.193884,1.0
335.434938,1.0
335.675992,1.0
335.917046,1.0
336.1581,1.0
336.399154,1.0
336.640208,1.0
336.881262,1.0
337.122316,1.0
337.36337,1.0
337.604424,1.0
337.845478,1.0
338.086532,1.0
338.327586,1.0
338.56864,1.0
338.809694,1.0
339.050748,1.0
339.291802,1.0
339.532856,1.0
339.77391,1.0
340.014964,1.0
340.256018,1.0
340.497072,1.0
340.738126,1.0
340.97918,1.0
341.220234,1.0
341.461288,1.0
341.702342,1.0
341.943396,1.0
342.18445,1.0
342.425504,1.0
342.666558,1.0
342.907612,1.0
343.148666,1.0
343.38972,1.0
343.630774,1.0
343.871828,1.0
344.112882,1.0
344.353936,1.0
344.59499,1.0
344.836044,1.0
345.077098,1.0
345.318152,1.0
345.559206,1.0
345.80026,1.0
346.041314,1.0
346.282368,1.0
346.523422,1.0
346.764476,1.0
347.00553,1.0
347.246584,1.0
347.487638,1.0
347.728692,1.0
347.969746,1.0
348.2108,1.0
348.451854,1.0
348.692908,1.0
348.933962,1.0
349.175016,1.0
349.41607,1.0
349.657124,1.0
349.898178,1.0
350.139232,1.0
350.380286,1.0
350.62134,1.0
350.862394,1.0
351.103448,1.0
351.344502,1.0
351.585556,1.0
351.82661,1.0
352.067664,1.0
352.308718,1.0
352.549772,1.0
352.790826,1.0
353.03188,1.0
353.272934,1.0
353.513988,1.0
353.755042,1.0
353.996096,1.0
354.23715,1.0
354.478204,1.0
354.719258,1.0
354.960312,1.0
355.201366,1.0
355.44242,1.0
355.683474,1.0
355.924528,1.0
356.165582,1.0
356.406636,1.0
356.64769,1.0
356.888744,1.0
357.129798,1.0
357.370852,1.0
357.611906,1.0
357.85296,1.0
358.094014,1.0
358.335068,1.0
358.576122,1.0
358.817176,1.0
359.05823,1.0
359.299284,1.0
359.540338,1.0
359.781392,1.0
360.022446,1.0
360.2635,1.0
360.504554,1.0
360.745608,1.0
360.986662,1.0
361.227716,1.0
361.46877,1.0
361.709824,1.0
361.950878,1.0
362.191932,1.0
362.432986,1.0
362.67404,1.0
362.915094,1.0
363.156148,1.0
363.397202,1.0
363.638256,1.0
363.87931,1.0
364.120364,1.0
364.361418,1.0
364.602472,1.0
364.843526,1.0
365.08458,1.0
365.325634,1.0
365.566688,1.0
365.807742,1.0
366.048796,1.0
366.28985,1.0
366.530904,1.0
366.771958,1.0
367.013012,1.0
367.254066,1.0
367.49512,1.0
367.736174,1.0
367.977228,1.0
368.218282,1.0
368.459336,1.0
368.70039,1.0
368.941444,1.0
369.182498,1.0
369.423552,1.0
369.664606,1.0
369.90566,1.0
370.146714,1.0
370.387768,1.0
370.628822,1.0
370.869876,1.0
371.11093,1.0
371.351984,1.0
371.593038,1.0
371.834092,1.0
372.075146,1.0
372.3162,1.0
372.557254,1.0
372.798308,1.0
373.039362,1.0
373.280416,1.0
373.52147,1.0
373.762524,1.0
374.003578,1.0
374.244632,1.0
374.485686,1.0
374.72674,1.0
374.967794,1.0
375.208848,1.0
375.449902,1.0
375.690956,1.0
375.93201,1.0
376.173064,1.0
376.414118,1.0
376.655172,1.0
376.896226,1.0
377.13728,1.0
377.378334,1.0
377.619388,1.0
377.860442,1.0
378.101496,1.0
378.34255,1.0
378.583604,1.0
378.824658,1.0
379.065712,1.0
379.306766,1.0
379.54782,1.0
379.788874,1.0
380.029928,1.0
380.270982,1.0
380.512036,1.0
380.75309,1.0
380.994144,1.0
381.235198,1.0
381.476252,1.0
381.717306,1.0
381.95836,1.0
382.199414,1.0
382.440468,1.0
382.681522,1.0
382.922576,1.0
383.16363,1.0
383.404684,1.0
383.645738,1.0
383.886792,1.0
384.127846,1.0
384.3689,1.0
384.609954,1.0
384.851008,1.0
385.092062,1.0
385.333116,1.0
385.57417,1.0
385.815224,1.0
386.056278,1.0
386.297332,1.0
386.538386,1.0
386.77944,1.0
387.020494,1.0
387.261548,1.0
387.502602,1.0
387.743656,1.0
387.98471,1.0
388.225764,1.0
388.466818,1.0
388.707872,1.0
388.948926,1.0
389.18998,1.0
389.431034,1.0
389.672088,1.0
389.913142,1.0
390.154196,1.0
390.39525,1.0
390.636304,1.0
390.877358,1.0
391.118412,1.0
391.359466,1.0
391.60052,1.0
391.841574,1.0
392.082628,1.0
392.323682,1.0
392.564736,1.0
392.80579,1.0
393.046844,1.0
393.287898,1.0
393.528952,1.0
393.770006,1.0
394.01106,1.0
394.252114,1.0
394.493168,1.0
394.734222,1.0
394.975276,1.0
395.21633,1.0
395.457384,1.0
395.698438,1.0
395.939492,1.0
396.180546,1.0
396.4216,1.0
396.662654,1.0
396.903708,1.0
397.144762,1.0
397.385816,1.0
397.62687,1.0
397.867924,1.0
398.108978,1.0
398.350032,1.0
398.591086,1.0
398.83214,1.0
399.073194,1.0
399.314248,1.0
399.555302,1.0
399.796356,1.0
400.03741,1.0
400.278464,1.0
400.519518,1.0
400.760572,1.0
401.001626,1.0
401.24268,1.0
401.483734,1.0
401.724788,1.0
401.965842,1.0
402.206896,1.0
402.44795,1.0
402.689004,1.0
402.930058,1.0
403.171112,1.0
403.412166,1.0
403.65322,1.0
403.894274,1.0
404.135328,1.0
404.376382,1.0
404.617436,1.0
404.85849,1.0
405.099544,1.0
405.340598,1.0
405.581652,1.0
405.822706,1.0
406.06376,1.0
406.304814,1.0
406.545868,1.0
406.786922,1.0
407.027976,1.0
407.26903,1.0
407.510084,1.0
407.751138,1.0
407.992192,1.0
408.233246,1.0
408.4743,1.0
408.715354,1.0
408.956408,1.0
409.197462,1.0
409.438516,1.0
409.67957,1.0
409.920624,1.0
410.161678,1.0
410.402732,1.0
410.643786,1.0
410.88484,1.0
411.125894,1.0
411.366948,1.0
411.608002,1.0
411.849056,1.0
412.09011,1.0
412.331164,1.0
412.572218,1.0
412.813272,1.0
413.054326,1.0
413.29538,1.0
413.536434,1.0
413.777488,1.0
414.018542,1.0
414.259596,1.0
414.50065,1.0
414.741704,1.0
414.982758,1.0
415.223812,1.0
415.464866,1.0
415.70592,1.0
415.946974,1.0
416.188028,1.0
