nu,[0]1-Propanol-2-2-3-3-tetrafluoro--HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
400.1569,1.0
400.639017,1.0
401.121133,1.0
401.60325,1.0
402.085367,1.0
402.567483,1.0
403.0496,1.0
403.531717,1.0
404.013834,1.0
404.49595,1.0
404.978067,1.0
405.460184,1.0
405.9423,1.0
406.424417,1.0
406.906534,1.0
407.38865,1.0
407.870767,1.0
408.352884,1.0
408.835,1.0
409.317117,1.0
409.799234,1.0
410.28135,1.0
410.763467,1.0
411.245584,1.0
411.727701,1.0
412.209817,1.0
412.691934,1.0
413.174051,1.0
413.656167,1.0
414.138284,1.0
414.620401,1.0
415.102517,1.0
415.584634,1.0
416.066751,1.0
416.548867,1.0
417.030984,1.0
417.513101,1.0
417.995217,1.0
418.477334,1.0
418.959451,1.0
419.441568,1.0
419.923684,1.0
420.405801,1.0
420.887918,1.0
421.370034,1.0
421.852151,1.0
422.334268,1.0
422.816384,1.0
423.298501,1.0
423.780618,1.0
424.262734,1.0
424.744851,1.0
425.226968,1.0
425.709085,1.0
426.191201,1.0
426.673318,1.0
427.155435,1.0
427.637551,1.0
428.119668,1.0
428.601785,1.0
429.083901,1.0
429.566018,1.0
430.048135,1.0
430.530251,1.0
431.012368,1.0
431.494485,1.0
431.976601,1.0
432.458718,1.0
432.940835,1.0
433.422952,1.0
433.905068,1.0
434.387185,1.0
434.869302,1.0
435.351418,1.0
435.833535,1.0
436.315652,1.0
436.797768,1.0
437.279885,1.0
437.762002,1.0
438.244118,1.0
438.726235,1.0
439.208352,1.0
439.690468,1.0
440.172585,1.0
440.654702,1.0
441.136819,1.0
441.618935,1.0
442.101052,1.0
442.583169,1.0
443.065285,1.0
443.547402,1.0
444.029519,1.0
444.511635,1.0
444.993752,1.0
445.475869,1.0
445.957985,1.0
446.440102,1.0
446.922219,1.0
447.404336,1.0
447.886452,1.0
448.368569,1.0
448.850686,1.0
449.332802,1.0
449.814919,1.0
450.297036,1.0
450.779152,1.0
451.261269,1.0
451.743386,1.0
452.225502,1.0
452.707619,1.0
453.189736,1.0
453.671852,1.0
454.153969,1.0
454.636086,1.0
455.118203,1.0
455.600319,1.0
456.082436,1.0
456.564553,1.0
457.046669,1.0
457.528786,1.0
458.010903,1.0
458.493019,1.0
458.975136,1.0
459.457253,1.0
459.939369,1.0
460.421486,1.0
460.903603,1.0
461.38572,1.0
461.867836,1.0
462.349953,1.0
462.83207,1.0
463.314186,1.0
463.796303,1.0
464.27842,1.0
464.760536,1.0
465.242653,1.0
465.72477,1.0
466.206886,1.0
466.689003,1.0
467.17112,1.0
467.653236,1.0
468.135353,1.0
468.61747,1.0
469.099587,1.0
469.581703,1.0
470.06382,1.0
470.545937,1.0
471.028053,1.0
471.51017,1.0
471.992287,1.0
472.474403,1.0
472.95652,1.0
473.438637,1.0
473.920753,1.0
474.40287,1.0
474.884987,1.0
475.367103,1.0
475.84922,1.0
476.331337,1.0
476.813454,1.0
477.29557,1.0
477.777687,1.0
478.259804,1.0
478.74192,1.0
479.224037,1.0
479.706154,1.0
480.18827,1.0
480.670387,1.0
481.152504,1.0
481.63462,1.0
482.116737,1.0
482.598854,1.0
483.080971,1.0
483.563087,1.0
484.045204,1.0
484.527321,1.0
485.009437,1.0
485.491554,1.0
485.973671,1.0
486.455787,1.0
486.937904,1.0
487.420021,1.0
487.902137,1.0
488.384254,1.0
488.866371,1.0
489.348487,1.0
489.830604,1.0
490.312721,1.0
490.794838,1.0
491.276954,1.0
491.759071,1.0
492.241188,1.0
492.723304,1.0
493.205421,1.0
493.687538,1.0
494.169654,1.0
494.651771,1.0
495.133888,1.0
495.616004,1.0
496.098121,1.0
496.580238,1.0
497.062354,1.0
497.544471,1.0
498.026588,1.0
498.508705,1.0
498.990821,1.0
499.472938,1.0
499.955055,1.0
500.437171,1.0
500.919288,1.0
501.401405,1.0
501.883521,1.0
502.365638,1.0
502.847755,1.0
503.329871,1.0
503.811988,1.0
504.294105,1.0
504.776222,1.0
505.258338,0.999992750326279
505.740455,0.9999923129295457
506.222572,0.9999917952336593
506.704688,0.9999915741354978
